disynthon,R
C=CC=CS(=O)(=O)N(C)C.CC(C)(C#N)c1ccccc1,1.6899787817154628
C=CC=CS(=O)(=O)N(C)C.CC(C)(C(=O)O)c1ccccc1,1.8366585712246228
C=CC=CS(=O)(=O)N(C)C.CC(C)(C)Oc1ccccc1,2.650571407452445
C=CC=CS(=O)(=O)N(C)C.CC(C)(O)c1ccccc1,2.4919681102260216
C=CC=CS(=O)(=O)N(C)C.CC(C)C(=O)Nc1ccccc1,1.3109181203961067
C=CC=CS(=O)(=O)N(C)C.CC(C)NC(=O)c1ccccc1,2.1241130865239586
C=CC=CS(=O)(=O)N(C)C.CC(C)OC(=O)c1ccccc1,2.3903926189908558
C=CC=CS(=O)(=O)N(C)C.CC1(c2ccccc2)OCCO1,2.645367831683213
C=CC=CS(=O)(=O)N(C)C.CCN(C)C(=O)c1ccccc1,1.4782861670832337
C=CC=CS(=O)(=O)N(C)C.CCN(CC)Cc1ccccc1,1.6730047324326947
C=CC=CS(=O)(=O)N(C)C.CCOC(=O)Cc1ccccc1,1.8161801481308304
C=CC=CS(=O)(=O)N(C)C.CCOc1ccc(C(=O)O)cc1,0.9224979365750375
C=CC=CS(=O)(=O)N(C)C.CN(C)C(=O)c1ccccc1,1.8466066203578644
C=CC=CS(=O)(=O)N(C)C.CN(C)c1ccccc1,1.906123150280189
C=CC=CS(=O)(=O)N(C)C.CN(C)c1ncccn1,2.11653035350647
C=CC=CS(=O)(=O)N(C)C.CN1CCOc2ccccc21,1.015805578498535
C=CC=CS(=O)(=O)N(C)C.CNc1ccccn1,1.3109181203961067
C=CC=CS(=O)(=O)N(C)C.COC(=O)CCc1ccccc1,1.8366585712246228
C=CC=CS(=O)(=O)N(C)C.COC(=O)Cc1ccccc1,1.581123465662937
C=CC=CS(=O)(=O)N(C)C.COC(=O)c1c(C)cccc1C,2.8645988556803803
C=CC=CS(=O)(=O)N(C)C.COC(=O)c1ccc[nH]1,1.3880091492460898
C=CC=CS(=O)(=O)N(C)C.COC(=O)c1ccccc1C,3.979887219751402
C=CC=CS(=O)(=O)N(C)C.COC(=O)c1ccccc1OC,2.022527617472873
C=CC=CS(=O)(=O)N(C)C.COC(=O)c1cccs1,1.5718568079887216
C=CC=CS(=O)(=O)N(C)C.CON(C)C(=O)c1ccccc1,3.1677560723212137
C=CC=CS(=O)(=O)N(C)C.CONC(=O)c1ccccc1,2.7191478932282367
C=CC=CS(=O)(=O)N(C)C.COc1c(C)cccc1C,3.1921821432403177
C=CC=CS(=O)(=O)N(C)C.COc1ccc(C(=O)O)cc1,1.7123579751832447
C=CC=CS(=O)(=O)N(C)C.COc1ccc(OC)cc1,2.3903926189908558
C=CC=CS(=O)(=O)N(C)C.COc1cccc(C(=O)O)c1,2.650571407452445
C=CC=CS(=O)(=O)N(C)C.COc1cccc2ccoc12,0.8202820987273884
C=CC=CS(=O)(=O)N(C)C.COc1ccccc1,2.367843790657518
C=CC=CS(=O)(=O)N(C)C.COc1ccccc1C(=O)O,1.942523114957322
C=CC=CS(=O)(=O)N(C)C.COc1ccccc1O,2.8333012157626523
C=CC=CS(=O)(=O)N(C)C.COc1ccccc1OC,2.2456324982364846
C=CC=CS(=O)(=O)N(C)C.COc1ccccn1,1.552326680858603
C=CC=CS(=O)(=O)N(C)C.CS(=O)(=O)c1ccccc1,1.6071234404323167
C=CC=CS(=O)(=O)N(C)C.CS(=O)(=O)c1cccnc1,2.7280310284921505
C=CC=CS(=O)(=O)N(C)C.CS(=O)c1ccccc1,1.4782861670832337
C=CC=CS(=O)(=O)N(C)C.Cc1cccc(C)c1OC(C)C,1.3063751942695438
C=CC=CS(=O)(=O)N(C)C.Cc1cccc2cn[nH]c12,2.3039227642517073
C=CC=CS(=O)(=O)N(C)C.Cc1ccccc1C(=O)O,3.1677560723212137
C=CC=CS(=O)(=O)N(C)C.Cc1ccco1,0.8024982049880409
C=CC=CS(=O)(=O)N(C)C.Cc1ccn[nH]1,1.3867451682336858
C=CC=CS(=O)(=O)N(C)C.Cn1cc2ccccc2n1,1.5718568079887216
C=CC=CS(=O)(=O)N(C)C.Cn1ccc2ccccc21,1.944542107411481
C=CC=CS(=O)(=O)N(C)C.Cn1ccccc1=O,2.5041225699759346
C=CC=CS(=O)(=O)N(C)C.Cn1ncc2ccccc21,1.0633286464984661
C=CC=CS(=O)(=O)N(C)C.N#CC1(c2ccccc2)CC1,0.26415864196305716
C=CC=CS(=O)(=O)N(C)C.N#CCNC(=O)c1ccccc1,2.9332990242473724
C=CC=CS(=O)(=O)N(C)C.N#Cc1ccc2[nH]ccc2c1,2.4243893140165023
C=CC=CS(=O)(=O)N(C)C.NC(=O)c1ccccc1,2.1540741291784262
C=CC=CS(=O)(=O)N(C)C.NNC(=O)CCc1ccccc1,1.2613665743119367
C=CC=CS(=O)(=O)N(C)C.NS(=O)(=O)c1ccccc1,6.146897660946967
C=CC=CS(=O)(=O)N(C)C.Nc1ccccn1,2.08511617386259
C=CC=CS(=O)(=O)N(C)C.O=C(NC1CC1)c1ccccc1,2.135417406298497
C=CC=CS(=O)(=O)N(C)C.O=C(O)C1(c2ccccc2)CC1,1.2479897107267712
C=CC=CS(=O)(=O)N(C)C.O=C(O)CCc1ccccc1,1.7924682898117
C=CC=CS(=O)(=O)N(C)C.O=C(O)Cc1ccccc1,1.8613531402494916
C=CC=CS(=O)(=O)N(C)C.O=C(O)c1cccc(C(=O)O)c1,1.8613531402494916
C=CC=CS(=O)(=O)N(C)C.O=C(O)c1ccccc1,1.5196609402727355
C=CC=CS(=O)(=O)N(C)C.O=C(O)c1ccco1,1.8995372535875055
C=CC=CS(=O)(=O)N(C)C.O=C(O)c1cccs1,1.649635247519693
C=CC=CS(=O)(=O)N(C)C.O=C(c1ccccc1)C1CC1,0.8605413428367076
C=CC=CS(=O)(=O)N(C)C.O=[N+]([O-])c1ccccc1,1.4801738429550075
C=CC=CS(=O)(=O)N(C)C.OC1(c2ccccc2)CCC1,0.9685816871978764
C=CC=CS(=O)(=O)N(C)C.OCc1cccs1,2.2051228601280624
C=CC=CS(=O)(=O)N(C)C.Oc1ccccn1,1.1403921860356376
C=CC=CS(=O)(=O)N(C)C.c1ccc(CN2CCCC2)cc1,2.3903926189908558
C=CC=CS(=O)(=O)N(C)C.c1ccc(N2CCCC2)nc1,1.4168508978018521
C=CC=CS(=O)(=O)N(C)C.c1ccc(N2CCOCC2)cc1,1.1004441291630152
C=CC=CS(=O)(=O)N(C)C.c1ccc(N2CCOCC2)nc1,0.5772355509563102
C=CC=CS(=O)(=O)N(C)C.c1ccc(OC2CCCC2)cc1,1.6071234404323167
C=CC=CS(=O)(=O)N(C)C.c1ccc2[nH]ccc2c1,2.3484788853975904
C=CC=CS(=O)(=O)N(C)C.c1ccc2c(c1)CCCC2,1.3109181203961067
C=CC=CS(=O)(=O)N(C)C.c1ccc2c(c1)OCO2,0.8617497561670034
C=CC=CS(=O)(=O)N(C)C.c1ccc2nonc2c1,1.8023885570676628
C=CC=CS(=O)(=O)N(C)C.c1ccc2occc2c1,2.2456324982364846
C=CC=CS(=O)(=O)N(C)C.c1ccccc1,1.906123150280189
C=CC=CS(=O)(=O)N(C)C.c1ccncc1,1.2479897107267712
C=CC=CS(=O)(=O)N(C)C.c1cnc(C2CC2)nc1,2.135417406298497
C=CC=CS(=O)(=O)N(C)C.c1cnc(N2CCCCC2)nc1,3.4987542578372275
C=CC=CS(=O)(=O)N(C)C.c1cnc(N2CCOCC2)nc1,1.7123579751832447
C=CC=CS(=O)(=O)N(C)C.c1cncnc1,1.3063751942695438
C=CC=CS(=O)(=O)N(C)C.c1cnn(Cc2ccncc2)c1,3.854443840256651
C=Cc1ccc(S(=O)(=O)N(C)C)cc1.C1=CCCCC1,1.009124020736571
C=Cc1ccc(S(=O)(=O)N(C)C)cc1.C1=CCCCCC1,1.6254669809137816
C=Cc1ccc(S(=O)(=O)N(C)C)cc1.C1=Cc2ccccc2C1,0.6714780898879525
C=Cc1ccc(S(=O)(=O)N(C)C)cc1.C=CC(=O)Nc1ccccc1,0.6368211562163164
C=Cc1ccc(S(=O)(=O)N(C)C)cc1.C=CC(C)(C)C,0.49692451777978025
C=Cc1ccc(S(=O)(=O)N(C)C)cc1.C=CC1CCCCC1,0.6611970856408644
C=Cc1ccc(S(=O)(=O)N(C)C)cc1.CC(=O)NCc1ccccc1,1.5333613974742513
C=Cc1ccc(S(=O)(=O)N(C)C)cc1.CC(=O)Nc1ccccc1,0.8957103376908263
C=Cc1ccc(S(=O)(=O)N(C)C)cc1.CC(=O)c1ccco1,1.3109181203961067
C=Cc1ccc(S(=O)(=O)N(C)C)cc1.CC(C)(C#N)c1ccccc1,2.3039227642517073
C=Cc1ccc(S(=O)(=O)N(C)C)cc1.CC(C)(C(=O)O)c1ccccc1,1.3109181203961067
C=Cc1ccc(S(=O)(=O)N(C)C)cc1.CC(C)(C)Oc1ccccc1,1.906123150280189
C=Cc1ccc(S(=O)(=O)N(C)C)cc1.CC(C)(O)c1ccccc1,0.997043224379081
C=Cc1ccc(S(=O)(=O)N(C)C)cc1.CC(C)C(=O)Nc1ccccc1,1.2197238163685513
C=Cc1ccc(S(=O)(=O)N(C)C)cc1.CC(C)NC(=O)c1ccccc1,2.4919681102260216
C=Cc1ccc(S(=O)(=O)N(C)C)cc1.CC(C)OC(=O)c1ccccc1,1.3081237305844433
C=Cc1ccc(S(=O)(=O)N(C)C)cc1.CC1(c2ccccc2)OCCO1,1.4782861670832337
C=Cc1ccc(S(=O)(=O)N(C)C)cc1.CCN(C)C(=O)c1ccccc1,1.009124020736571
C=Cc1ccc(S(=O)(=O)N(C)C)cc1.CCN(CC)Cc1ccccc1,2.190713235557081
C=Cc1ccc(S(=O)(=O)N(C)C)cc1.CCOC(=O)Cc1ccccc1,1.4782861670832337
C=Cc1ccc(S(=O)(=O)N(C)C)cc1.CCOc1ccc(C(=O)O)cc1,1.942523114957322
C=Cc1ccc(S(=O)(=O)N(C)C)cc1.CN(C)C(=O)c1ccccc1,1.4168508978018517
C=Cc1ccc(S(=O)(=O)N(C)C)cc1.CN(C)c1ccccc1,0.9224979365750375
C=Cc1ccc(S(=O)(=O)N(C)C)cc1.CN(C)c1ncccn1,1.9689267423030308
C=Cc1ccc(S(=O)(=O)N(C)C)cc1.CN1CCOc2ccccc21,1.3081237305844433
C=Cc1ccc(S(=O)(=O)N(C)C)cc1.CNc1ccccn1,0.6279815334579638
C=Cc1ccc(S(=O)(=O)N(C)C)cc1.COC(=O)CCc1ccccc1,0.9049563798863447
C=Cc1ccc(S(=O)(=O)N(C)C)cc1.COC(=O)Cc1ccccc1,1.942523114957322
C=Cc1ccc(S(=O)(=O)N(C)C)cc1.COC(=O)c1c(C)cccc1C,1.1892443278738438
C=Cc1ccc(S(=O)(=O)N(C)C)cc1.COC(=O)c1ccc[nH]1,0.6714780898879525
C=Cc1ccc(S(=O)(=O)N(C)C)cc1.COC(=O)c1ccccc1C,0.8024982049880409
C=Cc1ccc(S(=O)(=O)N(C)C)cc1.COC(=O)c1ccccc1OC,1.6071234404323167
C=Cc1ccc(S(=O)(=O)N(C)C)cc1.COC(=O)c1cccs1,1.1403921860356376
C=Cc1ccc(S(=O)(=O)N(C)C)cc1.CON(C)C(=O)c1ccccc1,0.6714780898879525
C=Cc1ccc(S(=O)(=O)N(C)C)cc1.CONC(=O)c1ccccc1,1.3587236814817758
